Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
8/16/2023,16:00,2.959,-,3.63
8/16/2023,17:00,1.872,-,2.48
8/16/2023,18:00,0.939,-,1.53
8/16/2023,19:00,0.508,-,1.1
8/16/2023,20:00,0.687,-,1.37
8/16/2023,21:00,1.35,-,1.99
8/16/2023,22:00,2.375,-,3.08
8/16/2023,23:00,3.597,-,4.36
8/17/2023,0:00,4.714,-,5.5
8/17/2023,1:00,5.425,-,6.34
8/17/2023,2:00,5.529,-,6.52
8/17/2023,3:00,4.996,-,5.89
8/17/2023,4:00,4.008,-,4.88
8/17/2023,5:00,2.801,-,3.69
8/17/2023,6:00,1.619,-,2.52
8/17/2023,7:00,0.794,-,1.55
8/17/2023,8:00,0.548,-,1.34
8/17/2023,9:00,0.818,-,1.6
8/17/2023,10:00,1.489,-,2.22
8/17/2023,11:00,2.468,-,3.09
8/17/2023,12:00,3.525,-,4.18
8/17/2023,13:00,4.349,-,5.11
8/17/2023,14:00,4.684,-,5.45
8/17/2023,15:00,4.409,-,5.32
8/17/2023,16:00,3.625,-,4.33
8/17/2023,17:00,2.576,-,3.27
8/17/2023,18:00,1.505,-,2.21
8/17/2023,19:00,0.715,-,1.48
8/17/2023,20:00,0.506,-,1.28
8/17/2023,21:00,0.895,-,1.64
8/17/2023,22:00,1.712,-,2.43
8/17/2023,23:00,2.823,-,3.53
8/18/2023,0:00,4.027,-,4.83
8/18/2023,1:00,5.008,-,5.92
8/18/2023,2:00,5.488,-,6.42
8/18/2023,3:00,5.318,-,6.28
8/18/2023,4:00,4.549,-,5.48
8/18/2023,5:00,3.431,-,4.33
8/18/2023,6:00,2.222,-,3.07
8/18/2023,7:00,1.174,-,2.01
8/18/2023,8:00,0.593,-,1.36
8/18/2023,9:00,0.614,-,1.39
8/18/2023,10:00,1.11,-,1.86
8/18/2023,11:00,1.943,-,2.61
8/18/2023,12:00,2.992,-,3.65
8/18/2023,13:00,3.994,-,4.6
8/18/2023,14:00,4.645,-,5.33
8/18/2023,15:00,4.733,-,5.45
8/18/2023,16:00,4.212,-,4.74
8/18/2023,17:00,3.268,-,3.64
8/18/2023,18:00,2.182,-,2.4
8/18/2023,19:00,1.198,-,1.48
8/18/2023,20:00,0.606,-,0.94
8/18/2023,21:00,0.632,-,1.05
8/18/2023,22:00,1.208,-,1.76
8/18/2023,23:00,2.136,-,2.65
8/19/2023,0:00,3.271,-,3.83
8/19/2023,1:00,4.385,-,5
8/19/2023,2:00,5.164,-,5.75
8/19/2023,3:00,5.375,-,5.98
8/19/2023,4:00,4.934,-,5.42
8/19/2023,5:00,3.98,-,4.33
8/19/2023,6:00,2.812,-,3.16
8/19/2023,7:00,1.688,-,2.06
8/19/2023,8:00,0.846,-,1.25
8/19/2023,9:00,0.546,-,0.83
8/19/2023,10:00,0.829,-,1.05
8/19/2023,11:00,1.519,-,1.63
8/19/2023,12:00,2.467,-,2.69
8/19/2023,13:00,3.522,-,3.82
8/19/2023,14:00,4.403,-,4.69
8/19/2023,15:00,4.833,-,5.12
8/19/2023,16:00,4.662,-,4.81
8/19/2023,17:00,3.929,-,4
8/19/2023,18:00,2.89,-,3.07
8/19/2023,19:00,1.837,-,1.95
8/19/2023,20:00,0.995,-,1.12
8/19/2023,21:00,0.623,-,0.71
8/19/2023,22:00,0.864,-,0.96
8/19/2023,23:00,1.58,-,1.64
8/20/2023,0:00,2.56,-,2.66
8/20/2023,1:00,3.653,-,3.73
8/20/2023,2:00,4.615,-,4.71
8/20/2023,3:00,5.154,-,5.37
8/20/2023,4:00,5.093,-,5.37
8/20/2023,5:00,4.425,-,4.66
8/20/2023,6:00,3.365,-,3.71
8/20/2023,7:00,2.233,-,2.61
8/20/2023,8:00,1.264,-,1.54
8/20/2023,9:00,0.668,-,0.89
8/20/2023,10:00,0.646,-,0.91
8/20/2023,11:00,1.16,-,1.27
8/20/2023,12:00,1.996,-,2.08
8/20/2023,13:00,3.002,-,3.12
8/20/2023,14:00,4.003,-,4.11
8/20/2023,15:00,4.716,-,4.85
8/20/2023,16:00,4.91,-,5.11
8/20/2023,17:00,4.504,-,4.64
8/20/2023,18:00,3.617,-,3.69
8/20/2023,19:00,2.553,-,2.7
8/20/2023,20:00,1.584,-,1.68
8/20/2023,21:00,0.907,-,0.93
8/20/2023,22:00,0.741,-,0.83
8/20/2023,23:00,1.152,-,1.28
8/21/2023,0:00,1.949,-,1.95
8/21/2023,1:00,2.924,-,3.01
8/21/2023,2:00,3.921,-,3.98
8/21/2023,3:00,4.694,-,4.77
8/21/2023,4:00,4.989,-,5.18
8/21/2023,5:00,4.693,-,4.86
8/21/2023,6:00,3.871,-,4.08
8/21/2023,7:00,2.79,-,3.1
8/21/2023,8:00,1.762,-,1.99
8/21/2023,9:00,0.981,-,1.19
8/21/2023,10:00,0.632,-,0.83
8/21/2023,11:00,0.858,-,1.12
8/21/2023,12:00,1.55,-,1.64
8/21/2023,13:00,2.478,-,2.56
8/21/2023,14:00,3.489,-,3.59
8/21/2023,15:00,4.393,-,4.57
8/21/2023,16:00,4.921,-,5.12
8/21/2023,17:00,4.899,-,5.03
8/21/2023,18:00,4.311,-,4.4
8/21/2023,19:00,3.34,-,3.49
8/21/2023,20:00,2.304,-,2.46
8/21/2023,21:00,1.44,-,1.52
8/21/2023,22:00,0.916,-,0.93
8/21/2023,23:00,0.914,-,1.07
8/22/2023,0:00,1.437,-,1.58
8/22/2023,1:00,2.257,-,2.28
8/22/2023,2:00,3.18,-,3.24
8/22/2023,3:00,4.051,-,4.2
8/22/2023,4:00,4.631,-,4.87
8/22/2023,5:00,4.717,-,4.99
8/22/2023,6:00,4.253,-,4.53
8/22/2023,7:00,3.359,-,3.7
8/22/2023,8:00,2.326,-,2.76
8/22/2023,9:00,1.433,-,1.82
8/22/2023,10:00,0.836,-,1.2
8/22/2023,11:00,0.701,-,1.06
8/22/2023,12:00,1.12,-,1.51
8/22/2023,13:00,1.932,-,2.23
8/22/2023,14:00,2.902,-,3.21
8/22/2023,15:00,3.883,-,4.26
8/22/2023,16:00,4.674,-,5.27
8/22/2023,17:00,5.037,-,5.81
8/22/2023,18:00,4.849,-,5.78
8/22/2023,19:00,4.146,-,5.11
8/22/2023,20:00,3.149,-,4.25
8/22/2023,21:00,2.165,-,3.29
8/22/2023,22:00,1.393,-,2.49
8/22/2023,23:00,0.982,-,2.09
8/23/2023,0:00,1.089,-,2.11
8/23/2023,1:00,1.663,-,2.54
8/23/2023,2:00,2.459,-,3.2
8/23/2023,3:00,3.305,-,4.04
8/23/2023,4:00,4.049,-,4.87
8/23/2023,5:00,4.471,-,5.31
8/23/2023,6:00,4.413,-,5.22
8/23/2023,7:00,3.861,-,4.58
8/23/2023,8:00,2.964,-,3.69
8/23/2023,9:00,2.013,-,2.78
8/23/2023,10:00,1.246,-,1.84
8/23/2023,11:00,0.796,-,1.22
8/23/2023,12:00,0.818,-,1.29
